City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
274,astana,51.1801,71.446,271.12,69,0,5.0,KZ,1680554515
275,xam nua,20.4197,104.0439,291.9,40,2,1.51,LA,1680554647
276,nome,64.5011,-165.4064,261.57,85,75,1.54,US,1680554648
277,quatre cocos,-20.2078,57.7625,298.76,79,100,3.76,MU,1680554648
278,cherskiy,68.75,161.3,253.55,82,100,4.58,RU,1680554648
279,komsomolskiy,40.4272,71.7189,287.55,67,75,4.12,UZ,1680554648
280,mastic beach,40.7668,-72.8521,286.23,68,0,7.2,US,1680554649
281,taltal,-25.4,-70.4833,294.94,81,44,1.67,CL,1680554649
282,west bay,19.3667,-81.4167,303.19,62,20,4.63,KY,1680554649
283,pangnirtung,66.1451,-65.7125,261.15,56,0,2.06,CA,1680554649
284,lagoa,39.05,-27.9833,287.65,73,98,6.02,PT,1680554649
285,vila velha,-20.3297,-40.2925,299.23,64,75,4.63,BR,1680554650
286,bandarbeyla,9.4942,50.8122,300.44,74,19,5.05,SO,1680554650
287,hovd,48.0056,91.6419,263.73,19,7,1.58,MN,1680554650
288,dicabisagan,17.0818,122.4157,296.46,87,99,2.27,PH,1680554650
289,banyo,6.75,11.8167,297.49,29,99,1.63,CM,1680554651
290,chipinge,-20.1883,32.6236,288.27,94,4,1.6,ZW,1680554651
291,san patricio,28.017,-97.5169,308.8,53,72,7.41,US,1680554651
292,guerrero negro,27.9769,-114.0611,290.94,58,70,10.43,MX,1680554651
293,iquique,-20.2208,-70.1431,300.17,79,34,3.14,CL,1680554651
294,beaupre,47.0443,-70.8953,277.96,78,100,1.54,CA,1680554652
295,bengkulu,-3.8004,102.2655,296.64,92,100,2.27,ID,1680554652
296,kurchatov,51.6601,35.6521,281.46,83,97,2.07,RU,1680554652
297,belmonte,-15.8631,-38.8828,298.61,80,66,4.58,BR,1680554638
298,tamworth,52.634,-1.6959,280.29,73,12,3.28,GB,1680554427
299,srivardhan,18.0333,73.0167,296.97,81,2,2.24,IN,1680554652
300,amapa,1.0,-52.0,298.3,82,100,0.99,BR,1680554556
301,awjilah,29.1081,21.2869,292.09,30,0,3.9,LY,1680554652
302,salalah,17.0151,54.0924,304.2,19,20,5.14,OM,1680554562
303,ponta delgada,37.7333,-25.6667,287.55,72,20,3.6,PT,1680554653
304,portoferraio,42.8115,10.3146,285.46,53,1,11.12,IT,1680554653
305,santa cruz,-17.8,-63.1667,305.18,58,40,7.72,BO,1680554653
306,sao joao do paraiso,-15.3136,-42.0144,293.73,85,100,1.87,BR,1680554653
307,gondanglegi,-7.7479,112.0132,296.05,86,100,2.29,ID,1680554653
308,hastings,50.8552,0.5729,279.77,35,10,7.0,GB,1680554654
309,billings,45.7833,-108.5007,281.09,43,75,5.66,US,1680554400
310,wanxian,30.8039,108.3897,291.32,88,100,1.27,CN,1680554654
311,bambanglipuro,-7.95,110.2833,296.61,91,100,2.38,ID,1680554654
312,humaita,-7.5061,-63.0208,299.82,89,54,0.94,BR,1680554654
313,luganville,-15.5333,167.1667,301.38,79,66,4.43,VU,1680554654
314,port said,31.2565,32.2841,291.14,88,0,4.12,EG,1680554654
315,lander,42.833,-108.7307,271.54,87,100,5.14,US,1680554654
316,bebington,53.35,-3.0167,282.3,72,0,2.57,GB,1680554655
317,jaque,7.5175,-78.1703,301.54,77,38,0.53,PA,1680554655
318,luderitz,-26.6481,15.1594,290.21,70,0,7.96,NA,1680554655
319,sayat,38.7839,63.8803,284.08,55,22,3.17,TM,1680554655
320,lashio,22.9333,97.75,288.69,55,3,1.07,MM,1680554655
321,guangyuan,32.442,105.823,281.49,87,97,3.08,CN,1680554656
322,firminy,45.3873,4.2907,277.43,81,100,4.12,FR,1680554656
323,carquefou,47.2982,-1.4902,280.19,82,0,2.06,FR,1680554656
324,comodoro rivadavia,-45.8667,-67.5,294.07,28,0,7.2,AR,1680554521
325,victoria point,-27.5833,153.3,293.12,93,75,3.37,AU,1680554656
326,sola,-13.8833,167.55,301.12,75,17,7.92,VU,1680554656
327,ocos,14.5094,-92.1933,306.25,61,40,5.59,GT,1680554656
328,nakonde,-9.3421,32.745,287.56,98,63,2.09,ZM,1680554657
329,beira,-19.8436,34.8389,296.2,100,0,1.03,MZ,1680554657
330,nsanje,-16.92,35.262,294.76,97,68,1.33,MW,1680554657
331,carnarvon,-24.8667,113.6333,297.02,74,8,6.13,AU,1680554657
332,cody,44.5263,-109.0565,274.77,48,40,4.63,US,1680554657
333,rundu,-17.9333,19.7667,293.29,59,35,0.66,NA,1680554657
334,kedrovyy,56.1667,91.8167,273.38,95,100,4.83,RU,1680554657
335,volchikha,52.0333,80.3833,270.53,69,0,1.96,RU,1680554658
336,tessalit,20.1986,1.0114,300.73,6,13,3.62,ML,1680554658
337,itoman,26.1247,127.6694,293.58,64,40,7.2,JP,1680554658
338,coquimbo,-29.9533,-71.3436,292.0,77,20,6.69,CL,1680554658
339,pangkalanbuun,-2.6833,111.6167,295.83,97,100,1.18,ID,1680554658
340,vinh long,10.25,105.9667,296.14,90,1,1.4,VN,1680554658
341,seymchan,62.8833,152.4333,248.85,100,90,1.03,RU,1680554658
342,roald,62.5833,6.1333,278.33,75,40,3.6,NO,1680554658
